 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      211  0.1816729E+02  0.39374E-01    2      508    -4    -5     T
      212  0.1821847E+02  0.51186E-01    2      510    -4    -5     T
      213  0.1828501E+02  0.66542E-01    2      512    -4    -5     T
      214  0.1837439E+02  0.89373E-01    3      515    -4    -5     T
      215  0.1847866E+02  0.10427E+00    3      518    -4    -5     T
      216  0.1860899E+02  0.13034E+00    3      521    -4    -5     T
      217  0.1880450E+02  0.19550E+00    4      525    -4    -5     T
      218  0.1900000E+02  0.19550E+00    4      529    -4    -5     T
      219  0.1900100E+02  0.10000E-02    2      531    -4    -5     T
      220  0.1900230E+02  0.13000E-02    2      533    -4    -5     T
      221  0.1900399E+02  0.16900E-02    2      535    -4    -5     T
      222  0.1900619E+02  0.21970E-02    2      537    -4    -5     T
      223  0.1900904E+02  0.28561E-02    2      539    -4    -5     T
      224  0.1901276E+02  0.37129E-02    2      541    -4    -5     T
      225  0.1901758E+02  0.48268E-02    2      543    -4    -5     T
      226  0.1902386E+02  0.62749E-02    2      545    -4    -5     T
      227  0.1903201E+02  0.81573E-02    2      547    -4    -5     T
      228  0.1904262E+02  0.10604E-01    2      549    -4    -5     T
      229  0.1905641E+02  0.13786E-01    2      551    -4    -5     T
      230  0.1907433E+02  0.17922E-01    2      553    -4    -5     T
      231  0.1909763E+02  0.23298E-01    2      555    -4    -5     T
      232  0.1912791E+02  0.30287E-01    2      557    -4    -5     T
      233  0.1916729E+02  0.39374E-01    2      559    -4    -5     T
      234  0.1921847E+02  0.51186E-01    2      561    -4    -5     T
      235  0.1928501E+02  0.66542E-01    2      563    -4    -5     T
      236  0.1937439E+02  0.89373E-01    2      565    -4    -5     T
      237  0.1947866E+02  0.10427E+00    2      567    -4    -5     T
      238  0.1960899E+02  0.13034E+00    2      569    -4    -5     T
      239  0.1980450E+02  0.19550E+00    3      572    -4    -5     T
      240  0.2000000E+02  0.19550E+00    3      575    -4    -5     T
      241  0.2025000E+02  0.25000E+00    4      579    -4    -5     T
      242  0.2050000E+02  0.25000E+00    3      582    -4    -5     T
      243  0.2075000E+02  0.25000E+00    4      586    -4    -5     T
      244  0.2100000E+02  0.25000E+00    3      589    -4    -5     T
      245  0.2100100E+02  0.10000E-02    2      591    -4    -5     T
      246  0.2100230E+02  0.13000E-02    2      593    -4    -5     T
      247  0.2100399E+02  0.16900E-02    2      595    -4    -5     T
      248  0.2100619E+02  0.21970E-02    2      597    -4    -5     T
      249  0.2100904E+02  0.28561E-02    2      599    -4    -5     T
      250  0.2101276E+02  0.37129E-02    2      601    -4    -5     T
      251  0.2101758E+02  0.48268E-02    2      603    -4    -5     T
      252  0.2102386E+02  0.62749E-02    2      605    -4    -5     T
      253  0.2103201E+02  0.81573E-02    2      607    -4    -5     T
      254  0.2104262E+02  0.10604E-01    2      609    -4    -5     T
      255  0.2105641E+02  0.13786E-01    2      611    -4    -5     T
      256  0.2107433E+02  0.17922E-01    2      613    -4    -5     T
      257  0.2109763E+02  0.23298E-01    2      615    -4    -5     T
      258  0.2112791E+02  0.30287E-01    2      617    -4    -5     T
      259  0.2116729E+02  0.39374E-01    2      619    -4    -5     T
      260  0.2121847E+02  0.51186E-01    2      621    -4    -5     T
      261  0.2128501E+02  0.66542E-01    2      623    -4    -5     T
      262  0.2137439E+02  0.89373E-01    2      625    -4    -5     T
      263  0.2147866E+02  0.10427E+00    2      627    -4    -5     T
      264  0.2160899E+02  0.13034E+00    2      629    -4    -5     T
      265  0.2180450E+02  0.19550E+00    2      631    -4    -5     T
      266  0.2200000E+02  0.19550E+00    2      633    -4    -5     T
      267  0.2200100E+02  0.10000E-02    2      635    -4    -5     T
      268  0.2200230E+02  0.13000E-02    2      637    -4    -5     T
      269  0.2200399E+02  0.16900E-02    2      639    -4    -5     T
      270  0.2200619E+02  0.21970E-02    2      641    -4    -5     T
      271  0.2200904E+02  0.28561E-02    2      643    -4    -5     T
      272  0.2201276E+02  0.37129E-02    2      645    -4    -5     T
      273  0.2201758E+02  0.48268E-02    2      647    -4    -5     T
      274  0.2202386E+02  0.62749E-02    2      649    -4    -5     T
      275  0.2203201E+02  0.81573E-02    2      651    -4    -5     T
      276  0.2204262E+02  0.10604E-01    2      653    -4    -5     T
      277  0.2205641E+02  0.13786E-01    2      655    -4    -5     T
      278  0.2207433E+02  0.17922E-01    2      657    -4    -5     T
      279  0.2209763E+02  0.23298E-01    2      659    -4    -5     T
      280  0.2212791E+02  0.30287E-01    2      661    -4    -5     T
      281  0.2216729E+02  0.39374E-01    2      663    -4    -5     T
      282  0.2221847E+02  0.51186E-01    2      665    -4    -5     T
      283  0.2228501E+02  0.66542E-01    2      667    -4    -5     T
      284  0.2237439E+02  0.89373E-01    3      670    -4    -5     T
      285  0.2247866E+02  0.10427E+00    3      673    -4    -5     T
      286  0.2260899E+02  0.13034E+00    3      676    -4    -5     T
      287  0.2280450E+02  0.19550E+00    3      679    -4    -5     T
      288  0.2300000E+02  0.19550E+00    3      682    -4    -5     T
      289  0.2325000E+02  0.25000E+00    4      686    -4    -5     T
      290  0.2350000E+02  0.25000E+00    3      689    -4    -5     T
      291  0.2375000E+02  0.25000E+00    2      691    -4    -5     T
      292  0.2400000E+02  0.25000E+00    2      693    -4    -5     T
      293  0.2400100E+02  0.10000E-02    2      695    -4    -5     T
      294  0.2400230E+02  0.13000E-02    2      697    -4    -5     T
      295  0.2400399E+02  0.16900E-02    2      699    -4    -5     T
