 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 



                               Node( 91)

         time         h        theta    Temp   
         19.1279      -95.67  0.2458   20.000
         19.1673      -95.41  0.2460   20.000
         19.2185      -95.08  0.2463   20.000
         19.2850      -94.59  0.2468   20.000
         19.3744      -93.82  0.2475   20.000
         19.4787      -92.77  0.2486   20.000
         19.6090      -91.19  0.2501   20.000
         19.8045      -88.07  0.2533   20.000
         20.0000      -83.88  0.2574   20.000
         20.2500      -76.46  0.2648   20.000
         20.5000      -68.25  0.2753   20.000
         20.7500      -58.95  0.2879   20.000
         21.0000      -50.56  0.3020   20.000
         21.0010      -50.51  0.3020   20.000
         21.0023      -50.47  0.3021   20.000
         21.0040      -50.41  0.3022   20.000
         21.0062      -50.34  0.3023   20.000
         21.0090      -50.24  0.3025   20.000
         21.0128      -50.12  0.3027   20.000
         21.0176      -49.96  0.3029   20.000
         21.0239      -49.75  0.3033   20.000
         21.0320      -49.48  0.3037   20.000
         21.0426      -49.13  0.3043   20.000
         21.0564      -48.69  0.3051   20.000
         21.0743      -48.11  0.3061   20.000
         21.0976      -47.40  0.3073   20.000
         21.1279      -46.56  0.3091   20.000
         21.1673      -45.44  0.3114   20.000
         21.2185      -44.03  0.3143   20.000
         21.2850      -42.27  0.3180   20.000
         21.3744      -40.05  0.3226   20.000
         21.4787      -37.65  0.3276   20.000
         21.6090      -35.45  0.3332   20.000
         21.8045      -32.96  0.3393   20.000
         22.0000      -31.25  0.3435   20.000
         22.0010      -31.17  0.3436   20.000
         22.0023      -31.17  0.3436   20.000
         22.0040      -31.15  0.3436   20.000
         22.0062      -31.14  0.3437   20.000
         22.0090      -31.11  0.3437   20.000
         22.0128      -31.08  0.3438   20.000
         22.0176      -31.04  0.3439   20.000
         22.0239      -30.99  0.3440   20.000
         22.0320      -30.93  0.3442   20.000
