

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    82.00000 -0.237870E+02  0.000000E+00 -0.237870E+02  0.000000E+00 -0.198302E+02    -52.475      0.000    -60.216      82
    83.00000 -0.237380E+02  0.000000E+00 -0.237380E+02  0.000000E+00 -0.199853E+02    -72.615      0.000    -60.123      83
    84.00000 -0.237040E+02  0.000000E+00 -0.237040E+02  0.000000E+00 -0.201405E+02    -79.202      0.000    -60.154      84
    85.00000 -0.237550E+02  0.000000E+00 -0.237550E+02  0.000000E+00 -0.202954E+02    -75.269      0.000    -60.245      85
    86.00000 -0.237430E+02  0.000000E+00 -0.237430E+02  0.000000E+00 -0.204494E+02    -82.689      0.000    -60.441      86
    87.00000 -0.237130E+02  0.000000E+00 -0.237130E+02  0.000000E+00 -0.206020E+02    -88.827      0.000    -60.776      87
    88.00000 -0.236830E+02  0.000000E+00 -0.236830E+02  0.000000E+00 -0.207524E+02    -93.260      0.000    -61.246      88
    89.00000 -0.236230E+02  0.000000E+00 -0.236230E+02  0.000000E+00 -0.208991E+02   -102.328      0.000    -61.874      89
    90.00000 -0.235770E+02  0.000000E+00 -0.235770E+02  0.000000E+00 -0.210421E+02   -106.313      0.000    -62.610      90
    91.00000 -0.235280E+02  0.000000E+00 -0.235280E+02  0.000000E+00 -0.211812E+02   -111.637      0.000    -63.449      91
    92.00000 -0.242760E+02  0.000000E+00 -0.242760E+02  0.000000E+00 -0.213178E+02    -46.210      0.000    -64.321      92
    93.00000 -0.242340E+02  0.000000E+00 -0.242340E+02  0.000000E+00 -0.214496E+02    -74.757      0.000    -65.276      93
    94.00000 -0.241410E+02  0.000000E+00 -0.241410E+02  0.000000E+00 -0.215765E+02    -92.009      0.000    -66.247      94
    95.00000 -0.240890E+02  0.000000E+00 -0.240890E+02  0.000000E+00 -0.216985E+02    -96.843      0.000    -67.138      95
    96.00000 -0.240840E+02  0.000000E+00 -0.240840E+02  0.000000E+00 -0.218157E+02    -94.691      0.000    -67.889      96
    97.00000 -0.240840E+02  0.000000E+00 -0.240840E+02  0.000000E+00 -0.219296E+02    -95.836      0.000    -68.579      97
    98.00000 -0.240840E+02  0.000000E+00 -0.240840E+02  0.000000E+00 -0.220404E+02    -96.960      0.000    -69.230      98
    99.00000 -0.240770E+02  0.000000E+00 -0.240770E+02  0.000000E+00 -0.221480E+02    -99.761      0.000    -69.873      99
   100.00000 -0.240690E+02  0.000000E+00 -0.240690E+02  0.000000E+00 -0.222525E+02   -101.967      0.000    -70.522     100
   101.00000 -0.240350E+02  0.000000E+00 -0.240350E+02  0.000000E+00 -0.223536E+02   -109.381      0.000    -71.186     101
   102.00000 -0.240210E+02  0.000000E+00 -0.240210E+02  0.000000E+00 -0.224515E+02   -109.430      0.000    -71.870     102
   103.00000 -0.239870E+02  0.000000E+00 -0.239870E+02  0.000000E+00 -0.225459E+02   -116.199      0.000    -72.565     103
   104.00000 -0.239730E+02  0.000000E+00 -0.239730E+02  0.000000E+00 -0.226369E+02   -115.280      0.000    -73.274     104
   105.00000 -0.239720E+02  0.000000E+00 -0.239720E+02  0.000000E+00 -0.227244E+02   -113.833      0.000    -73.984     105
   106.00000 -0.239690E+02  0.000000E+00 -0.239690E+02  0.000000E+00 -0.228085E+02   -114.381      0.000    -74.691     106
