 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:21:56
 Units: L = cm   , T = days , M = mg   



                               Node( 10)                                 Node( 26)                                 Node( 51)                                 Node( 85)                                 Node(101)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          1.7540        0.00  0.3500   20.000  0.3457E-06          0.00  0.3500   20.000  0.2292E-05          0.00  0.3500   20.000  0.4585E-07          0.00  0.3500   20.000  0.2381E-13          0.00  0.3500   20.000  0.7490E-17
          1.8274        0.00  0.3500   20.000  0.2893E-06          0.00  0.3500   20.000  0.2223E-05          0.00  0.3500   20.000  0.6934E-07          0.00  0.3500   20.000  0.6673E-13          0.00  0.3500   20.000  0.2592E-16
          1.9008        0.00  0.3500   20.000  0.2421E-06          0.00  0.3500   20.000  0.2133E-05          0.00  0.3500   20.000  0.1008E-06          0.00  0.3500   20.000  0.1774E-12          0.00  0.3500   20.000  0.8504E-16
          1.9742        0.00  0.3500   20.000  0.2026E-06          0.00  0.3500   20.000  0.2025E-05          0.00  0.3500   20.000  0.1414E-06          0.00  0.3500   20.000  0.4484E-12          0.00  0.3500   20.000  0.2650E-15
          2.0476        0.00  0.3500   20.000  0.1695E-06          0.00  0.3500   20.000  0.1907E-05          0.00  0.3500   20.000  0.1920E-06          0.00  0.3500   20.000  0.1081E-11          0.00  0.3500   20.000  0.7866E-15
          2.1210        0.00  0.3500   20.000  0.1419E-06          0.00  0.3500   20.000  0.1781E-05          0.00  0.3500   20.000  0.2529E-06          0.00  0.3500   20.000  0.2488E-11          0.00  0.3500   20.000  0.2227E-14
          2.1944        0.00  0.3500   20.000  0.1188E-06          0.00  0.3500   20.000  0.1652E-05          0.00  0.3500   20.000  0.3241E-06          0.00  0.3500   20.000  0.5487E-11          0.00  0.3500   20.000  0.6030E-14
          2.2678        0.00  0.3500   20.000  0.9946E-07          0.00  0.3500   20.000  0.1522E-05          0.00  0.3500   20.000  0.4049E-06          0.00  0.3500   20.000  0.1161E-10          0.00  0.3500   20.000  0.1563E-13
          2.3412        0.00  0.3500   20.000  0.8329E-07          0.00  0.3500   20.000  0.1395E-05          0.00  0.3500   20.000  0.4944E-06          0.00  0.3500   20.000  0.2362E-10          0.00  0.3500   20.000  0.3889E-13
          2.4146        0.00  0.3500   20.000  0.6976E-07          0.00  0.3500   20.000  0.1272E-05          0.00  0.3500   20.000  0.5909E-06          0.00  0.3500   20.000  0.4627E-10          0.00  0.3500   20.000  0.9297E-13
          2.4880        0.00  0.3500   20.000  0.5845E-07          0.00  0.3500   20.000  0.1154E-05          0.00  0.3500   20.000  0.6926E-06          0.00  0.3500   20.000  0.8749E-10          0.00  0.3500   20.000  0.2139E-12
          2.5614        0.00  0.3500   20.000  0.4898E-07          0.00  0.3500   20.000  0.1043E-05          0.00  0.3500   20.000  0.7972E-06          0.00  0.3500   20.000  0.1599E-09          0.00  0.3500   20.000  0.4745E-12
          2.6348        0.00  0.3500   20.000  0.4106E-07          0.00  0.3500   20.000  0.9391E-06          0.00  0.3500   20.000  0.9026E-06          0.00  0.3500   20.000  0.2830E-09          0.00  0.3500   20.000  0.1016E-11
          2.7082        0.00  0.3500   20.000  0.3443E-07          0.00  0.3500   20.000  0.8425E-06          0.00  0.3500   20.000  0.1006E-05          0.00  0.3500   20.000  0.4856E-09          0.00  0.3500   20.000  0.2104E-11
          2.7816        0.00  0.3500   20.000  0.2887E-07          0.00  0.3500   20.000  0.7533E-06          0.00  0.3500   20.000  0.1106E-05          0.00  0.3500   20.000  0.8092E-09          0.00  0.3500   20.000  0.4217E-11
          2.8550        0.00  0.3500   20.000  0.2422E-07          0.00  0.3500   20.000  0.6717E-06          0.00  0.3500   20.000  0.1200E-05          0.00  0.3500   20.000  0.1312E-08          0.00  0.3500   20.000  0.8192E-11
          2.9284        0.00  0.3500   20.000  0.2033E-07          0.00  0.3500   20.000  0.5972E-06          0.00  0.3500   20.000  0.1286E-05          0.00  0.3500   20.000  0.2071E-08          0.00  0.3500   20.000  0.1545E-10
          3.0018        0.00  0.3500   20.000  0.1706E-07          0.00  0.3500   20.000  0.5297E-06          0.00  0.3500   20.000  0.1363E-05          0.00  0.3500   20.000  0.3188E-08          0.00  0.3500   20.000  0.2830E-10
          3.0752        0.00  0.3500   20.000  0.1433E-07          0.00  0.3500   20.000  0.4687E-06          0.00  0.3500   20.000  0.1429E-05          0.00  0.3500   20.000  0.4792E-08          0.00  0.3500   20.000  0.5044E-10
          3.1486        0.00  0.3500   20.000  0.1203E-07          0.00  0.3500   20.000  0.4139E-06          0.00  0.3500   20.000  0.1484E-05          0.00  0.3500   20.000  0.7042E-08          0.00  0.3500   20.000  0.8756E-10
          3.2220        0.00  0.3500   20.000  0.1011E-07          0.00  0.3500   20.000  0.3648E-06          0.00  0.3500   20.000  0.1527E-05          0.00  0.3500   20.000  0.1013E-07          0.00  0.3500   20.000  0.1482E-09
          3.2954        0.00  0.3500   20.000  0.8493E-08          0.00  0.3500   20.000  0.3209E-06          0.00  0.3500   20.000  0.1558E-05          0.00  0.3500   20.000  0.1427E-07          0.00  0.3500   20.000  0.2448E-09
          3.3688        0.00  0.3500   20.000  0.7139E-08          0.00  0.3500   20.000  0.2819E-06          0.00  0.3500   20.000  0.1577E-05          0.00  0.3500   20.000  0.1972E-07          0.00  0.3500   20.000  0.3951E-09
          3.4422        0.00  0.3500   20.000  0.6002E-08          0.00  0.3500   20.000  0.2472E-06          0.00  0.3500   20.000  0.1584E-05          0.00  0.3500   20.000  0.2676E-07          0.00  0.3500   20.000  0.6236E-09
          3.5156        0.00  0.3500   20.000  0.5047E-08          0.00  0.3500   20.000  0.2164E-06          0.00  0.3500   20.000  0.1580E-05          0.00  0.3500   20.000  0.3568E-07          0.00  0.3500   20.000  0.9635E-09
          3.5890        0.00  0.3500   20.000  0.4246E-08          0.00  0.3500   20.000  0.1892E-06          0.00  0.3500   20.000  0.1566E-05          0.00  0.3500   20.000  0.4678E-07          0.00  0.3500   20.000  0.1458E-08
          3.6624        0.00  0.3500   20.000  0.3572E-08          0.00  0.3500   20.000  0.1653E-06          0.00  0.3500   20.000  0.1542E-05          0.00  0.3500   20.000  0.6036E-07          0.00  0.3500   20.000  0.2165E-08
          3.7358        0.00  0.3500   20.000  0.3006E-08          0.00  0.3500   20.000  0.1442E-06          0.00  0.3500   20.000  0.1510E-05          0.00  0.3500   20.000  0.7674E-07          0.00  0.3500   20.000  0.3153E-08
          3.8092        0.00  0.3500   20.000  0.2531E-08          0.00  0.3500   20.000  0.1256E-06          0.00  0.3500   20.000  0.1471E-05          0.00  0.3500   20.000  0.9616E-07          0.00  0.3500   20.000  0.4512E-08
          3.8826        0.00  0.3500   20.000  0.2131E-08          0.00  0.3500   20.000  0.1093E-06          0.00  0.3500   20.000  0.1425E-05          0.00  0.3500   20.000  0.1189E-06          0.00  0.3500   20.000  0.6345E-08
