

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    79.00000 -0.233620E+02  0.000000E+00 -0.233620E+02  0.000000E+00 -0.193919E+02    -67.438      0.000    -59.902      79
    80.00000 -0.233170E+02  0.000000E+00 -0.233170E+02  0.000000E+00 -0.195458E+02    -75.410      0.000    -60.455      80
    81.00000 -0.234120E+02  0.000000E+00 -0.234120E+02  0.000000E+00 -0.196989E+02    -68.709      0.000    -60.588      81
    82.00000 -0.237870E+02  0.000000E+00 -0.237870E+02  0.000000E+00 -0.198522E+02    -52.514      0.000    -60.453      82
    83.00000 -0.237380E+02  0.000000E+00 -0.237380E+02  0.000000E+00 -0.200062E+02    -72.693      0.000    -60.368      83
    84.00000 -0.237040E+02  0.000000E+00 -0.237040E+02  0.000000E+00 -0.201602E+02    -79.290      0.000    -60.393      84
    85.00000 -0.237550E+02  0.000000E+00 -0.237550E+02  0.000000E+00 -0.203139E+02    -75.333      0.000    -60.474      85
    86.00000 -0.237430E+02  0.000000E+00 -0.237430E+02  0.000000E+00 -0.204669E+02    -82.774      0.000    -60.657      86
    87.00000 -0.237130E+02  0.000000E+00 -0.237130E+02  0.000000E+00 -0.206184E+02    -88.919      0.000    -60.979      87
    88.00000 -0.236830E+02  0.000000E+00 -0.236830E+02  0.000000E+00 -0.207679E+02    -93.356      0.000    -61.436      88
    89.00000 -0.236230E+02  0.000000E+00 -0.236230E+02  0.000000E+00 -0.209137E+02   -102.448      0.000    -62.052      89
    90.00000 -0.235770E+02  0.000000E+00 -0.235770E+02  0.000000E+00 -0.210559E+02   -106.431      0.000    -62.777      90
    91.00000 -0.235280E+02  0.000000E+00 -0.235280E+02  0.000000E+00 -0.211943E+02   -111.766      0.000    -63.605      91
    92.00000 -0.242760E+02  0.000000E+00 -0.242760E+02  0.000000E+00 -0.213302E+02    -46.040      0.000    -64.466      92
    93.00000 -0.242340E+02  0.000000E+00 -0.242340E+02  0.000000E+00 -0.214613E+02    -74.649      0.000    -65.412      93
    94.00000 -0.241410E+02  0.000000E+00 -0.241410E+02  0.000000E+00 -0.215876E+02    -91.940      0.000    -66.379      94
    95.00000 -0.240890E+02  0.000000E+00 -0.240890E+02  0.000000E+00 -0.217089E+02    -96.801      0.000    -67.268      95
    96.00000 -0.240840E+02  0.000000E+00 -0.240840E+02  0.000000E+00 -0.218255E+02    -94.670      0.000    -68.018      96
