 ******* Program HYDRUS
 ******* 
 Oefening 2                                                              
 Date:   3. 5.    Time:  10:32:41
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  53   -52.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  54   -53.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  55   -54.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  56   -55.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  57   -56.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  58   -57.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  59   -58.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  60   -59.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  61   -60.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  62   -61.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  63   -62.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  64   -63.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  65   -64.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  66   -65.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  67   -66.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  68   -67.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  69   -68.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  70   -69.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  71   -70.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  72   -71.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  73   -72.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  74   -73.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  75   -74.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  76   -75.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  77   -76.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  78   -77.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  79   -78.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  80   -79.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  81   -80.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
end


 Time:        2.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000     -16.869 0.3353   0.1205E+01  0.4705E-02 -0.1200E+01  0.0000E+00      -1  -0.186E+00   20.00
   2    -1.0000     -17.913 0.3304   0.1073E+01  0.4735E-02 -0.1177E+01  0.0000E+00      -1  -0.183E+00   20.00
   3    -2.0000     -19.070 0.3249   0.9423E+00  0.4745E-02 -0.1152E+01  0.0000E+00      -1  -0.179E+00   20.00
   4    -3.0000     -20.345 0.3189   0.8426E+00  0.4692E-02 -0.1123E+01  0.0000E+00      -1  -0.174E+00   20.00
   5    -4.0000     -21.752 0.3124   0.7327E+00  0.4634E-02 -0.1090E+01  0.0000E+00      -1  -0.169E+00   20.00
   6    -5.0000     -23.353 0.3049   0.6074E+00  0.4567E-02 -0.1054E+01  0.0000E+00      -1  -0.164E+00   20.00
   7    -6.0000     -25.190 0.2968   0.5184E+00  0.4429E-02 -0.1012E+01  0.0000E+00      -1  -0.157E+00   20.00
   8    -7.0000     -27.280 0.2878   0.4290E+00  0.4259E-02 -0.9634E+00  0.0000E+00      -1  -0.150E+00   20.00
   9    -8.0000     -29.774 0.2771   0.3223E+00  0.4055E-02 -0.9088E+00  0.0000E+00      -1  -0.141E+00   20.00
  10    -9.0000     -32.807 0.2658   0.2584E+00  0.3781E-02 -0.8470E+00  0.0000E+00      -1  -0.132E+00   20.00
  11   -10.0000     -36.496 0.2522   0.1825E+00  0.3447E-02 -0.7727E+00  0.0000E+00      -1  -0.120E+00   20.00
  12   -11.0000     -41.221 0.2374   0.1275E+00  0.3066E-02 -0.6822E+00  0.0000E+00      -1  -0.106E+00   20.00
  13   -12.0000     -47.542 0.2188   0.7250E-01  0.2577E-02 -0.5803E+00  0.0000E+00      -1  -0.901E-01   20.00
  14   -13.0000     -56.844 0.1981   0.4110E-01  0.2053E-02 -0.4660E+00  0.0000E+00      -1  -0.724E-01   20.00
  15   -14.0000     -70.342 0.1749   0.1870E-01  0.1506E-02 -0.3316E+00  0.0000E+00      -1  -0.515E-01   20.00
  16   -15.0000     -90.672 0.1502   0.6837E-02  0.1000E-02 -0.1914E+00  0.0000E+00      -1  -0.297E-01   20.00
  17   -16.0000    -117.662 0.1287   0.2292E-02  0.6347E-03 -0.8107E-01  0.0000E+00      -1  -0.126E-01   20.00
  18   -17.0000    -140.143 0.1171   0.1173E-02  0.4701E-03 -0.2351E-01  0.0000E+00      -1  -0.365E-02   20.00
  19   -18.0000    -148.056 0.1132   0.8670E-03  0.4170E-03 -0.4714E-02  0.0000E+00      -1  -0.732E-03   20.00
  20   -19.0000    -149.679 0.1124   0.8040E-03  0.4061E-03 -0.7860E-03  0.0000E+00      -1  -0.122E-03   20.00
  21   -20.0000    -149.949 0.1123   0.7935E-03  0.4042E-03 -0.1249E-03  0.0000E+00      -1  -0.194E-04   20.00
  22   -21.0000    -149.992 0.1123   0.7918E-03  0.4040E-03 -0.1955E-04  0.0000E+00      -1  -0.304E-05   20.00
  23   -22.0000    -149.999 0.1123   0.7916E-03  0.4039E-03 -0.3032E-05  0.0000E+00      -1  -0.471E-06   20.00
  24   -23.0000    -150.000 0.1123   0.7915E-03  0.4039E-03 -0.4831E-06  0.0000E+00      -1  -0.750E-07   20.00
  25   -24.0000    -150.000 0.1123   0.7915E-03  0.4039E-03 -0.7850E-07  0.0000E+00      -1  -0.122E-07   20.00
  26   -25.0000    -150.000 0.1123   0.7915E-03  0.4039E-03 -0.6039E-08  0.0000E+00      -1  -0.938E-09   20.00
  27   -26.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  28   -27.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  29   -28.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  30   -29.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  31   -30.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  32   -31.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  33   -32.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  34   -33.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  35   -34.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  36   -35.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  37   -36.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  38   -37.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  39   -38.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  40   -39.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
